pos,row,outcome
RB,Sean Tucker TB,unresolved
RB,Isaac Guerendo SF,unresolved
RB,Chris Brooks GB,unresolved
RB,Tyler Badie DEN,tier3_single
RB,Brashard Smith KC,unresolved
RB,Raheem Mostert LV,unresolved
RB,Quinshon Judkins CLE,tier3_single
RB,Hassan Haskins LAC,tier3_single
RB,Emari Demercado KC,unresolved
RB,AJ Dillon CAR,unresolved
RB,Kyle Juszczyk SF,unresolved
RB,Dylan Laube LV,unresolved
RB,Isaiah Davis NYJ,tier3_single
RB,Kimani Vidal LAC,tier3_single
RB,LeQuint Allen Jr. JAC,tier3_single
RB,Ty Chandler NO,unresolved
RB,Kalel Mullings TEN,tier3_single
RB,Alec Ingold LAC,unresolved
RB,Raheim Sanders CLE,tier3_single
RB,George Holani SEA,tier3_single
RB,Hunter Luepke DAL,tier3_single
RB,Kenny McIntosh SEA,tier3_single
RB,Andrew Beck NYJ,tier3_single
RB,Rasheen Ali BAL,tier3_single
RB,Robbie Ouzts SEA,tier3_single
RB,Scott Matlock LAC,tier3_single
RB,Reggie Gilliam NE,unresolved
RB,Adam Prentice DEN,tier3_single
RB,Eric Gray NYG,tier3_single
RB,Patrick Ricard NYG,unresolved
RB,Chase Edmonds WAS,tier3_single
RB,Travis Homer PIT,unresolved
RB,Cam Akers SEA,tier3_single
RB,DeeJay Dallas JAC,tier3_single
RB,Patrick Taylor Jr. SF,unresolved
RB,Jaret Patterson LAC,tier3_single
RB,Michael Carter TEN,unresolved
RB,Elijah Mitchell NE,unresolved
RB,Keilan Robinson NYJ,tier3_single
RB,Phil Mafah DAL,tier3_single
RB,Kendall Milton CIN,tier3_single
RB,Tyler Goodson ATL,unresolved
RB,Deuce Vaughn DEN,tier3_single
RB,Audric Estime NO,unresolved
RB,MarShawn Lloyd GB,unresolved
RB,Kene Nwangwu NYJ,tier3_single
RB,Gary Brightwell CIN,tier3_single
RB,Ronnie Rivers LAR,tier3_single
RB,Pierre Strong Jr. GB,unresolved
RB,Malik Davis DAL,tier3_single
RB,Velus Jones Jr. SEA,unresolved
RB,Jarquez Hunter LAR,tier3_single
RB,Jaydon Blue DAL,tier3_single
RB,Israel Abanikanda DAL,tier3_single
RB,Brittain Brown CHI,tier3_single
RB,Bam Knight ARI,tier3_single
RB,Tyjae Spears TEN,tier3_single
RB,Evan Hull NO,unresolved
RB,Keaton Mitchell LAC,unresolved
RB,Lew Nichols III PIT,tier3_single
RB,Carlos Washington Jr. ATL,tier3_single
RB,Jacob Saylors DET,tier3_single
RB,Brady Russell SEA,tier3_single
RB,Owen Wright TB,unresolved
RB,Jaleel McLaughlin DEN,tier3_single
RB,Damien Martinez GB,unresolved
RB,Frank Gore Jr. BUF,tier3_single
RB,Jaylen Wright MIA,tier3_single
RB,Jonathon Brooks CAR,tier3_single
RB,Cody Schrader DEN,tier3_single
RB,Sione Vaki DET,tier3_single
RB,Jawhar Jordan HOU,tier3_single
RB,Carson Steele PHI,tier3_single
RB,Michael Wiley TB,unresolved
RB,Blake Watson TEN,tier3_single
RB,Dante Miller NYG,tier3_single
RB,Chris Collier LV,unresolved
RB,British Brooks HOU,tier3_single
RB,Terrell Jennings NE,unresolved
RB,Jordan James SF,unresolved
RB,Josh Williams TB,unresolved
RB,Nathan Carter ATL,tier3_single
WR,Ja'Marr Chase CIN,tier3_single
WR,Justin Jefferson MIN,tier3_single
WR,Nico Collins HOU,tier3_single
WR,CeeDee Lamb DAL,tier3_single
WR,Brian Thomas Jr. JAC,tier3_single
WR,Malik Nabers NYG,tier3_single
WR,Mike Evans SF,unresolved
WR,Puka Nacua LAR,tier3_single
WR,A.J. Brown PHI,tier3_single
WR,Amon-Ra St. Brown DET,tier3_single
WR,Drake London ATL,tier3_single
WR,Ladd McConkey LAC,tier3_single
WR,Tee Higgins CIN,tier3_single
WR,Xavier Worthy KC,unresolved
WR,Terry McLaurin WAS,tier3_single
WR,Courtland Sutton DEN,tier3_single
WR,Davante Adams LAR,tier3_single
WR,DK Metcalf PIT,tier3_single
WR,Jaxon Smith-Njigba SEA,tier3_single
WR,Zay Flowers BAL,tier3_single
WR,Marvin Harrison Jr. ARI,tier3_single
WR,Jerry Jeudy CLE,tier3_single
WR,DeVonta Smith PHI,tier3_single
WR,Emeka Egbuka TB,unresolved
WR,Jameson Williams DET,tier3_single
WR,DJ Moore BUF,unresolved
WR,Tetairoa McMillan CAR,tier3_single
WR,George Pickens DAL,tier3_single
WR,Jaylen Waddle DEN,unresolved
WR,Ricky Pearsall SF,unresolved
WR,Garrett Wilson NYJ,tier3_single
WR,Calvin Ridley TEN,tier3_single
WR,Jakobi Meyers JAC,tier3_single
WR,Travis Hunter JAC,tier3_single
WR,Matthew Golden GB,unresolved
WR,Chris Olave NO,unresolved
WR,Cooper Kupp SEA,tier3_single
WR,Rome Odunze CHI,tier3_single
WR,Michael Pittman Jr. PIT,unresolved
WR,Rashid Shaheed SEA,tier3_single
WR,Keon Coleman BUF,tier3_single
WR,Khalil Shakir BUF,tier3_single
WR,Jayden Reed GB,unresolved
WR,Josh Downs IND,tier3_single
WR,Rashod Bateman BAL,tier3_single
WR,Marvin Mims Jr. DEN,tier3_single
WR,Hollywood Brown PHI,unresolved
WR,Cedric Tillman CLE,tier3_single
WR,Xavier Legette CAR,tier3_single
WR,Keenan Allen LAC,tier3_single
WR,Romeo Doubs NE,unresolved
WR,DeMario Douglas NE,unresolved
WR,Wan'Dale Robinson TEN,unresolved
WR,Jayden Higgins HOU,tier3_single
WR,Joshua Palmer BUF,unresolved
WR,Jalen Nailor LV,unresolved
WR,Michael Wilson ARI,tier3_single
WR,Calvin Austin III NYG,unresolved
WR,Tyler Lockett LV,unresolved
WR,Alec Pierce IND,tier3_single
WR,DeAndre Hopkins BAL,tier3_single
WR,Darius Slayton NYG,tier3_single
WR,Tre Tucker LV,unresolved
WR,Dont'e Thornton Jr. LV,unresolved
WR,Nick Westbrook-Ikhine IND,unresolved
WR,Quentin Johnston LAC,tier3_single
WR,Tory Horton SEA,tier3_single
WR,Christian Kirk SF,unresolved
WR,Kayshon Boutte NE,unresolved
WR,Andrei Iosivas CIN,tier3_single
WR,Dyami Brown WAS,unresolved
WR,KaVontae Turpin DAL,tier3_single
WR,Troy Franklin DEN,tier3_single
WR,Tutu Atwell MIA,unresolved
WR,Jalen Tolbert MIA,unresolved
WR,Luther Burden III CHI,tier3_single
WR,Tre Harris LAC,tier3_single
WR,Elic Ayomanor TEN,tier3_single
WR,Jamari Thrash CLE,tier3_single
WR,Roman Wilson PIT,tier3_single
WR,Malik Washington MIA,tier3_single
WR,Devaughn Vele NO,unresolved
WR,Greg Dortch DET,unresolved
WR,Jaylin Noel HOU,tier3_single
